"Plot_code","Rmax","Rmin","Rmean","Rsd","Rcv","Rhom","Gmax","Gmin","Gmean","Gsd","Gcv","Ghom","Bmax","Bmin","Bmean","Bsd","Bcv","Bhom","NIRmax","NIRmin","NIRmean","NIRsd","NIRcv","NIRhom","NDVImax","NDVImin","NDVImean","NDVIsd","NDVIcv","NDVIhom"
"Con_11_1",140,25,92.7244801512287,19.0987525978389,20.5973142871115,0.509469638056533,131,34,95.7046313799622,15.6636090967241,16.3666155659041,0.58425940311799,121,42,82.8100189035917,12.9655595363053,15.6569938130312,0.627117903949373,166,31,127.608695652174,23.2091935807056,18.1877837259363,0.536918521295487,0.495238095238095,-0.094017094017094,0.159599372595206,0.0888117164982846,55.6466576617059,0.642991171614155
"Con_12_1",159,23,75.1721854304636,29.9121234208697,39.7914777248818,0.383278770879729,144,35,83.9366130558184,24.7811385971292,29.5236341984035,0.423710274695999,129,41,76.3580889309366,20.2449262915092,26.5131390464999,0.529211500528675,175,30,113.02270577105,34.080421230884,30.1536058603309,0.324104366461822,0.585798816568047,-0.072463768115942,0.210984735545986,0.14681917733702,69.587582702171,0.519276583837021
"Con_13_1-CWD",144,36,85.2713947990544,19.0555407331467,22.3469321430145,0.42300250865334,136,47,90.234988179669,15.871948128861,17.5895719044789,0.506933390862391,127,47,84.8378250591017,14.9810882673525,17.6585010953735,0.536901900477616,161,31,98.2028368794326,20.6573613179881,21.0354018014265,0.428019043062089,0.55688622754491,-0.192307692307692,0.0703451641233101,0.123097079112366,174.990108625783,0.528485989261842
"Con_13_2",146,16,58.3623462630085,28.7198097027522,49.2094844393799,0.535421720292121,137,25,68.5704824976348,26.1659127875488,38.1591492935044,0.545577292431642,128,35,64.2142857142857,18.8193636191184,29.3071291065248,0.659934174885632,170,21,94.9588457899716,40.610785296942,42.7667216877976,0.435860735837838,0.614973262032086,-0.0434782608695652,0.239218914727799,0.128295368475583,53.6309466254236,0.568818376229133
"Con_14_1",159,22,79.6425855513308,30.8463683824287,38.7309982076709,0.417409003063897,157,33,90.2328897338403,28.2273553006789,31.2827788004363,0.442218170423137,131,40,77.3930608365019,19.4550573779364,25.1379867492727,0.588113933201442,190,34,123.816539923954,35.4498647031352,28.6309605525302,0.402929390788021,0.570552147239264,-0.0642201834862385,0.231547709483466,0.113951328193661,49.2128937262486,0.585993641910746
"Con_21_1",138,13,37.4263382283278,18.4217095243179,49.2212447072222,0.538185337141551,134,23,52.7171956418759,19.2925613172342,36.5963346159278,0.487281434018023,114,30,49.3514921837991,12.7180729858636,25.7703919842947,0.662546013768608,172,23,92.3273330175272,39.2792216991556,42.543438021435,0.320756945253394,0.698924731182796,-0.0748898678414097,0.409001234251818,0.153833549129359,37.6120011986674,0.508722234251871
"Con_22_1",137,13,54.7568590350047,30.5403383992847,55.7744526211064,0.485417453122022,139,24,66.5070955534532,28.7106292788186,43.1692724511526,0.492877236257248,118,29,58.2119205298013,18.8683517905344,32.4132095605312,0.611387920919783,173,21,102.374645222327,45.5499667443741,44.4934061997999,0.399174502178556,0.688311688311688,-0.0232558139534884,0.307973295692394,0.14874524097845,48.2980969645554,0.541229847022333
"Con_22_2",150,17,51.4519185220275,25.3747539360048,49.3174106328832,0.604312255095995,148,30,63.775461866414,24.5417679456463,38.481521305251,0.598464308817456,146,36,60.3604926575083,16.7315388125777,27.7193542927395,0.703041551675877,173,25,98.1226906679299,41.3690546657971,42.1605383873947,0.443659523358693,0.611940298507463,-0.0387596899224806,0.302965127312471,0.138054212567033,45.5676908400903,0.598945829708319
"Con_23_1",155,17,63.162494095418,31.1062276998683,49.2479407999262,0.424176634597032,149,30,78.2706660368446,29.1452096564297,37.2364400766822,0.411243018492125,134,36,67.4119036372225,20.007971237906,29.6801753968839,0.556655931164209,182,34,115.200283419934,35.0199044119713,30.3991477905614,0.371633242731981,0.671875,-0.0353982300884956,0.31531957360474,0.143654657389841,45.558433226196,0.505001842574256
"Con_24_1",89,19,36.2061757719715,15.3533866867952,42.4054359772534,0.610887072964536,112,30,52.3771971496437,19.2845968975634,36.8186881830782,0.595918894723469,86,39,52.0038004750594,9.10333499235223,17.505134065573,0.761287262683611,186,25,80.3434679334917,43.2587530027364,53.8422775558381,0.396562622108366,0.609756097560976,0,0.341489508748717,0.119221428043003,34.9121788484375,0.572977325014982
"Con_31_1",145,14,47.7669811320755,18.6763609938159,39.0988933174903,0.500598643251963,147,28,64.5382075471698,19.6551787697859,30.45510483913,0.448127577628003,132,35,57.127358490566,13.3608150770154,23.3877697657276,0.640000489964214,160,39,102.889622641509,27.6935990418296,26.9158330362628,0.347542890604854,0.700787401574803,-0.0551181102362205,0.372849145270054,0.126322228883341,33.8802517012197,0.514205975740175
"Con_32_1",148,13,38.4448113207547,20.7750888021087,54.0387326361857,0.544898890048559,161,25,56.875,26.6619715024658,46.8781916526872,0.475481552294716,150,32,54.9665094339623,13.6739250275201,24.8768298520906,0.660542715399356,195,30,91.186320754717,44.2366293768285,48.5123525225028,0.371105128204587,0.739644970414201,-0.0789473684210526,0.399466066768108,0.13774958817622,34.4834266626668,0.468109258687554
"Con_32_2",147,20,60.0869565217391,29.0254962511257,48.30581865238,0.492121907651113,143,31,71.2589792060491,26.7974989076319,37.6057855532079,0.511734030669949,136,38,66.8558601134216,19.4709583986506,29.1237871528658,0.629385861627961,187,26,96.9333648393195,44.5582446380125,45.9679128150291,0.379806017178904,0.595744680851064,-0.12962962962963,0.225669363594234,0.136881105795302,60.65559968584,0.554673437844031
"Con_33_1",123,16,47.11536643026,23.0226930395283,48.8645102094375,0.488408738962697,131,27,62.9229314420804,24.5413022185334,39.0021597152117,0.466126705077058,96,35,55.4704491725768,12.5852420494174,22.68819206829,0.671615967450375,181,29,102.65768321513,39.9179750441008,38.8845469661033,0.335479668736405,0.686567164179104,0.0994152046783626,0.378636918215076,0.102412548594116,27.0476923055725,0.532464556978657
"Con_33_2",137,13,39.7565011820331,23.8196431792487,59.9138316276518,0.564627155450845,134,25,57.1172576832151,26.6715624259177,46.6961536806336,0.519869354243609,111,34,54.4747044917258,14.2740012928864,26.2029898575301,0.654540347845689,180,23,84.4368794326241,44.3490728934777,52.5233442915969,0.407501431069346,0.698412698412698,-0.0451612903225806,0.35236609601013,0.135952363294311,38.5827027156444,0.485449480928724
"Con_34_2",129,14,55.6737488196412,25.0067119986921,44.9165226500249,0.435851128060428,128,27,70.7091595845137,24.1302053993352,34.1259966051414,0.469119277272082,108,35,63.1558073654391,14.6306855494008,23.1660177578652,0.628187258565782,179,27,113.513692162417,36.4723972276443,32.130394609541,0.356864713550897,0.679389312977099,-0.0113636363636364,0.353755862012082,0.127174838301838,35.9498885978868,0.497254183756864
"Con_41_1",139,23,57.0344827586207,22.5100952227432,39.4675188306864,0.447045721255187,130,34,69.9607935758148,21.2765318173624,30.41207900866,0.444750792962503,128,37,60.7642890883325,14.5415346113815,23.9310536329037,0.639010076887598,179,26,102.840340103921,39.9682650278452,38.8643843334795,0.297337512790102,0.575,-0.14,0.272533607054969,0.142181133363245,52.1701286309867,0.546763646799138
"Con_42_1",144,19,59.2817966903073,23.3780380444195,39.4354411465432,0.509000281382807,146,32,71.880378250591,22.1526562226459,30.8187808158393,0.529706453802921,135,37,65.7891252955083,17.7573515347786,26.9913172656074,0.604919166112008,169,31,102.585342789598,35.0065634177499,34.1243324492741,0.410866555875491,0.573770491803279,-0.108571428571429,0.265666156958605,0.143426114824791,53.9873488090315,0.564294483251276
"Con_42_2",134,14,38.3094000944733,19.8515799933312,51.8190834217606,0.549766631010768,143,27,57.7061880018895,23.7255819051461,41.1144501597805,0.497006492023993,124,38,57.1752479924421,13.9229581350394,24.3513734070376,0.63608447754745,176,20,88.1728861596599,41.8597708738513,47.4746520126984,0.352409881554568,0.680672268907563,-0.125,0.378054348062544,0.149883045659169,39.6458991748913,0.468731125089098
"Con_43_2",139,16,62.3404457088668,32.0383691339805,51.392589144456,0.536399632362577,136,28,76.7415836889521,28.2996148175026,36.8765061354561,0.552352501728129,129,38,70.5680417259365,23.4451142130137,33.2234162088087,0.696949839574098,172,27,112.218587008061,37.7318024260874,33.6234873670055,0.434633285970175,0.624161073825503,-0.148387096774194,0.306809192189746,0.161624884188179,52.6792835099354,0.590059288489437
"Con_44_2",105,8,32.1959299574065,16.4218316699632,51.0059243254921,0.72762860069107,108,24,47.1774727875059,21.2563320301346,45.0561057517348,0.663372061533755,94,31,47.260766682442,12.4586307395453,26.361465575153,0.774415769036127,172,20,78.1599621391387,45.5216603287872,58.2416611816552,0.490158059424004,0.728813559322034,0.038961038961039,0.381811837440425,0.118597045339942,31.0616470497583,0.569959310989955
"Con_44_4",91,11,34.7024988213107,17.4458363518949,50.2725652170658,0.657665345278037,112,24,53.0862800565771,23.1505655290723,43.6093195914263,0.602828217916019,92,32,51.0957095709571,13.8069501734804,27.0217407477364,0.733887712693773,183,20,96.5266383781235,50.103180071425,51.9060654274066,0.42301214748503,0.73469387755102,0.0810810810810811,0.446189234482002,0.107843221394877,24.1698394001094,0.589695585072138
"Dec_51_1",174,22,85.3116389548694,31.5615124913891,36.9955528671597,0.398008976008766,168,34,94.886460807601,26.6841462606578,28.1221852238378,0.448931491310951,150,38,79.6028503562945,19.2532400969037,24.1866214723821,0.569307769459306,204,37,140.080760095012,33.419873749001,23.8575759628471,0.427261717772371,0.658823529411765,-0.0326409495548961,0.2575793386022,0.138936872908954,53.9394478077782,0.590972864555658
"Dec_51_3-Dense",122,27,78.468809073724,17.1870111685326,21.9029846016713,0.428392369647203,130,41,90.9390359168242,16.6187842058042,18.274643048783,0.44223269672566,95,40,68.3260869565217,7.74105141880339,11.3295693689136,0.699209827080116,181,59,139.468809073724,22.3318930561185,16.0121056488793,0.381917927546809,0.556962025316456,0.105263157894737,0.284198182787032,0.0658318456591152,23.1640628428815,0.652954105977769
"Dec_52_2",147,30,89.0184222957015,28.7576264359215,32.3052528839417,0.458446650567641,150,42,99.7109116674539,25.8624129493664,25.9373949318809,0.491492007918748,142,49,84.3434104865376,17.1057997186702,20.2811335467642,0.6478710285204,191,44,139.78318375059,31.7765970147254,22.7327752610236,0.427428851561863,0.568181818181818,0.00355871886120996,0.233180684997757,0.0927435956485257,39.7732752390782,0.633758026371311
"Dec_61_2",152,32,93.1121718377088,22.8977487039811,24.5915740682014,0.416576328493518,155,46,106.524105011933,21.4466590561095,20.1331511339213,0.434273970137277,127,46,79.0281622911695,13.538112363021,17.1307442442373,0.59813161951171,181,65,144.536038186158,21.0653124200162,14.5744360260413,0.491688014002978,0.475862068965517,0.00869565217391304,0.225490446937283,0.077351361290522,34.3036090180956,0.623403015052175
"Dec_62_5",134,23,77.9173789173789,20.4832313542898,26.2883988641476,0.527708013597948,146,37,97.630579297246,20.3051377219298,20.7979281369506,0.557296537673109,121,46,80.0797720797721,12.1746318998059,15.2031300584597,0.718935421058375,204,73,163.990028490028,23.9093973772773,14.579787318429,0.564035520557919,0.620253164556962,0.0612244897959184,0.364947221191578,0.0830268449806389,22.7503705082479,0.693114625312768
"Shr_71_1",153,91,124.517077798861,9.73908270530589,7.82148350850147,0.551947718441538,149,94,121.608159392789,7.34150160253285,6.03701399576331,0.646997775219303,140,93,114.969165085389,5.38331351667965,4.68239767826564,0.738158389635718,137,95,123.162713472486,6.23024411685023,5.05854729990343,0.678255329435528,0.103734439834025,-0.0896057347670251,-0.00456006860497104,0.0269443132922819,-590.875173739914,0.768656404541339
"Shr_71_2",160,87,121.750118091639,12.0548293013673,9.90128756367514,0.540467769198582,153,90,120.037316957959,9.48713316199484,7.90348651771141,0.6251310229682,138,88,113.587151629665,7.29065650476525,6.41855738097513,0.693904971913986,141,84,116.589513462447,8.3090780745742,7.12677995457158,0.644304718697603,0.0857142857142857,-0.109243697478992,-0.0204392937336609,0.0302089569982828,-147.798438595422,0.791667475963873
"Shr_72_1",152,77,117.150190114068,13.5927545649803,11.6028446490314,0.531712515701901,142,89,117.32747148289,8.91005864747372,7.59417938089044,0.666708050274108,123,76,106.251901140684,7.7456748594159,7.28991648738607,0.761425363036534,166,94,127.103136882129,11.0946864822366,8.72888486814092,0.580501005281444,0.248868778280543,-0.0534351145038168,0.0422218317565233,0.0510222777932312,120.843354422557,0.771216538563477
"Shr_73_1",169,91,137.55156102176,12.8437933959274,9.33743921226427,0.487411632892893,158,97,133.905865657521,9.62496623594048,7.18786006025858,0.632431868452903,142,99,124.620151371807,7.34144539051683,5.8910579947969,0.769311241879165,150,91,125.92573320719,9.02987993911736,7.17079798476152,0.588809266037703,0.0909090909090909,-0.128787878787879,-0.0431506479393118,0.0265133282880393,-61.4436388656975,0.806934880291585
"Shr_73_2",170,38,124.381809568925,23.0144634256656,18.5030781473817,0.426317861295433,162,44,121.810990052108,18.7610515301505,15.4017724690727,0.504780471060438,157,48,112.477498815727,16.9457830903974,15.0659316475021,0.576089665105762,178,39,134.024159166272,18.3035459735262,13.6569004330171,0.545525441938142,0.417582417582418,-0.130081300813008,0.0418637923427903,0.074455067448814,177.850747106614,0.658678130652806
"Shr_81_1",139,65,99.0256045519203,15.1168537796259,15.2656011018847,0.518304463143217,133,80,103.913703176861,9.70157888268593,9.33618818893774,0.619353771522251,122,74,96.3987671882409,9.41010692454908,9.76164654281696,0.662271347829719,151,87,120.960644855382,9.56208449688248,7.90512030447153,0.561369085361083,0.326424870466321,-0.0571428571428571,0.103350003023723,0.0737064257130356,71.3172942008687,0.66371331615866
"Shr_81_2",154,74,125.136513934813,14.5017036264175,11.5887067414805,0.498617258234914,149,85,123.891355692017,11.3428902269211,9.15551384805132,0.564609199468601,139,86,116.564478034955,9.32374169224863,7.99878474937506,0.646873413316447,139,90,119.345299952763,8.38591248642204,7.02659634668577,0.60962331979635,0.228426395939086,-0.0995670995670996,-0.021325789883565,0.041071272067117,-192.589687375515,0.770533549468667
"Shr_82_2",168,60,107.397624703088,14.4049293838256,13.4127076121558,0.520278194301476,158,70,107.748693586698,11.1700913400619,10.3667997896179,0.636262676912215,143,66,99.0038004750594,9.47851206006082,9.57388707764669,0.735468695674991,156,86,121.828503562945,12.8815363227869,10.5734995884041,0.54348496138171,0.330316742081448,-0.0901639344262295,0.0644882505341921,0.0518547111485766,80.4095485906892,0.758994089439054
"Shr_82_3",152,82,116.127066603684,12.089357344524,10.410456147818,0.468939436101756,141,88,115.669815777043,8.32606428729327,7.19813049874827,0.592290770846171,126,82,107.243268776571,5.86826541888626,5.47191957670754,0.706314296835901,156,95,126.638639584317,10.2426736065171,8.08811089580398,0.560758099089562,0.186046511627907,-0.064,0.0443444006128658,0.0344033124375095,77.5820891973628,0.738539175888339
"Shr_83_1",157,67,103.823361823362,14.6874369150843,14.1465626397963,0.446366942506451,156,68,106.837132003799,11.5373016081651,10.7989623006305,0.51756658707439,123,68,95.3727445394112,8.50235109405821,8.91486465564043,0.623013115020444,175,80,124.789648622982,15.5836538749743,12.487937939513,0.466473030588782,0.255813953488372,-0.0505050505050505,0.0923084320898426,0.0503118985768388,54.5041199788454,0.751793212158411
"Shr_91_2",150,76,105.792336802271,12.9850078439021,12.274053335424,0.462785109275487,144,86,108.828287606433,9.66995993428535,8.88552061873454,0.56511966193671,134,87,105.548249763482,7.03629891190825,6.6664287922117,0.6812802117434,151,75,106.490539262062,11.9101048139884,11.184190536099,0.520802402347129,0.131707317073171,-0.12962962962963,0.00388732550431318,0.034869332627144,897.000587896607,0.752221216131504
"Shr_91_4",157,82,103.17202268431,12.1217500578396,11.749066987792,0.606790060794288,149,90,109.083648393195,8.92935748919995,8.18578918172397,0.667707768965695,137,89,104.037807183365,7.12664813753839,6.85005608103388,0.739255538616264,149,87,108.798676748582,9.92625851855853,9.1235103359728,0.648017338129211,0.130841121495327,-0.101851851851852,0.0276824212782099,0.0324158583347554,117.099071677922,0.797788072284128
"Shr_92_1",162,74,123.212927756654,18.0903135095684,14.6821553865653,0.362954137626533,155,84,123.063212927757,13.0105957894439,10.5722867784069,0.480658826043296,138,88,113.028992395437,7.93953707170157,7.02433676832642,0.641070207987501,165,79,128.654467680608,19.0233707405842,14.7864050767446,0.379507485047385,0.134199134199134,-0.115241635687732,0.0214199714469824,0.0345498348802043,161.297296617413,0.751908993262377
"Shr_92_2",150,47,100.30108541765,14.6714073080997,14.6273664407603,0.462440982842286,145,58,105.299669655498,11.5768710059891,10.9942139836377,0.525890356142457,125,67,97.0188768286928,10.3276183195508,10.6449576176669,0.686663890045814,163,60,121.364794714488,16.7628435627324,13.8119490105572,0.470344849043185,0.274611398963731,-0.0829268292682927,0.0951586536254077,0.0588108942280986,61.8029910969609,0.69394280161044
"Shr_93_1",194,19,108.660528800755,28.0291443589426,25.7951481262696,0.427631549601337,193,22,114.713408876298,26.0916867366467,22.7451062541283,0.50303711068423,186,30,98.3347497639282,28.1987485561154,28.6762803828881,0.500736068236397,183,27,146.423512747875,22.0950314605112,15.0898110869368,0.587627547587145,0.513513513513513,-0.142857142857143,0.158420521648886,0.105450903914462,66.5639166043,0.590110751322574
"Con_BerryGlade_Unburned3",111,30,66.0817490494297,15.3364480143514,23.2082961407085,0.414566639285652,124,50,85.2053231939164,13.9360324404423,16.3558236951061,0.414636942354905,103,47,67.8346007604563,9.95155984577864,14.6703300885053,0.575323254301721,167,73,129.039923954373,16.3754846731301,12.6902466859174,0.430481773530618,0.558441558441558,0,0.32770655184968,0.0970378744897779,29.611209767417,0.45178682049743
